threshold,approval_rate,precision,recall,f1,tp,fp,tn,fn,bad_rate_on_approved,expected_profit,auc,brier,ks,label_source,model_path
0.69,0.236,0.989406779661017,0.9491869918699187,0.9688796680497925,467,5,1503,25,0.01059322033898305,452.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.71,0.235,0.9893617021276596,0.9451219512195121,0.9667359667359667,465,5,1503,27,0.010638297872340425,450.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.5,0.2425,0.9814432989690721,0.967479674796748,0.9744114636642784,476,9,1499,16,0.018556701030927835,449.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.51,0.2425,0.9814432989690721,0.967479674796748,0.9744114636642784,476,9,1499,16,0.018556701030927835,449.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.52,0.2425,0.9814432989690721,0.967479674796748,0.9744114636642784,476,9,1499,16,0.018556701030927835,449.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.49,0.2425,0.9814432989690721,0.967479674796748,0.9744114636642784,476,9,1499,16,0.018556701030927835,449.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.55,0.2425,0.9814432989690721,0.967479674796748,0.9744114636642784,476,9,1499,16,0.018556701030927835,449.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.53,0.2425,0.9814432989690721,0.967479674796748,0.9744114636642784,476,9,1499,16,0.018556701030927835,449.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.54,0.2425,0.9814432989690721,0.967479674796748,0.9744114636642784,476,9,1499,16,0.018556701030927835,449.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.59,0.2405,0.9833679833679834,0.9613821138211383,0.9722507708119219,473,8,1500,19,0.016632016632016633,449.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.73,0.232,0.9913793103448276,0.9349593495934959,0.9623430962343096,460,4,1504,32,0.008620689655172414,448.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.72,0.234,0.9893162393162394,0.9410569105691057,0.9645833333333333,463,5,1503,29,0.010683760683760684,448.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.76,0.2295,0.9934640522875817,0.926829268292683,0.9589905362776026,456,3,1505,36,0.006535947712418301,447.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.75,0.2295,0.9934640522875817,0.926829268292683,0.9589905362776026,456,3,1505,36,0.006535947712418301,447.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.56,0.2415,0.9813664596273292,0.9634146341463414,0.9723076923076923,474,9,1499,18,0.018633540372670808,447.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.57,0.2415,0.9813664596273292,0.9634146341463414,0.9723076923076923,474,9,1499,18,0.018633540372670808,447.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.58,0.2415,0.9813664596273292,0.9634146341463414,0.9723076923076923,474,9,1499,18,0.018633540372670808,447.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.48,0.243,0.9794238683127572,0.967479674796748,0.9734151329243353,476,10,1498,16,0.0205761316872428,446.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.74,0.231,0.9913419913419913,0.9308943089430894,0.960167714884696,458,4,1504,34,0.008658008658008658,446.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.77,0.2285,0.9934354485776805,0.9227642276422764,0.9567966280295047,454,3,1505,38,0.006564551422319475,445.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.47,0.2435,0.9774127310061602,0.967479674796748,0.9724208375893769,476,11,1497,16,0.022587268993839837,443.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
